"9/27/2024, 2:17:02 PM","Неудовлетворительно"
"9/27/2024, 2:17:04 PM","Удовлетворительно"
"9/27/2024, 2:17:05 PM","Неудовлетворительно"
"9/27/2024, 2:17:06 PM","Удовлетворительно"
"9/27/2024, 2:17:08 PM","Удовлетворительно"
"9/27/2024, 2:17:09 PM","Удовлетворительно"
"9/27/2024, 2:17:10 PM","Удовлетворительно"
"9/27/2024, 2:17:11 PM","Неудовлетворительно"
"9/27/2024, 2:17:13 PM","Неудовлетворительно"
"9/27/2024, 2:17:14 PM","Неудовлетворительно"
"9/27/2024, 3:03:37 PM","Удовлетворительно"
"9/27/2024, 3:03:41 PM","Удовлетворительно"
"9/27/2024, 3:07:35 PM","Удовлетворительно"
"9/27/2024, 3:15:32 PM","Удовлетворительно"
"9/27/2024, 3:15:35 PM","Неудовлетворительно"
"9/27/2024, 3:15:37 PM","Удовлетворительно"
"9/27/2024, 3:16:05 PM","Удовлетворительно"
"9/27/2024, 3:19:21 PM","Удовлетворительно"
"9/27/2024, 3:19:24 PM","Неудовлетворительно"
"9/27/2024, 3:21:17 PM","Удовлетворительно"
"9/27/2024, 3:21:20 PM","Неудовлетворительно"
"9/27/2024, 3:21:23 PM","Неудовлетворительно"
"9/27/2024, 3:21:26 PM","Удовлетворительно"
"9/27/2024, 3:21:59 PM","Неудовлетворительно"
"9/27/2024, 3:22:16 PM","Удовлетворительно"
"9/27/2024, 3:22:24 PM","Неудовлетворительно"
"9/27/2024, 3:54:38 PM","Удовлетворительно"
"9/27/2024, 3:54:44 PM","Удовлетворительно"
"9/27/2024, 3:54:48 PM","Удовлетворительно"
"9/27/2024, 3:54:52 PM","Неудовлетворительно"
